,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
259,Orco +/+ shuffle vs. Orco +/+ fixed da4l,2.3333333333333335,0.32865112944639446,1.222392421336448,1.11275848765471
260,Orco +/+ shuffle vs. Orco +/+ fixed da4m,1.3333333333333333,1.0,0.41503749927884376,0.0
261,Orco +/+ shuffle vs. Orco +/+ fixed dc1,0.5333333333333333,0.1771960297458111,-0.9068905956085186,1.7304986465598433
262,Orco +/+ shuffle vs. Orco +/+ fixed dc2,1.0,1.0,0.0,0.0
263,Orco +/+ shuffle vs. Orco +/+ fixed dc3,1.125,1.0,0.16992500144231237,0.0
264,Orco +/+ shuffle vs. Orco +/+ fixed dc4,2.0,0.6817831153087021,1.0,0.3830436844592892
265,Orco +/+ shuffle vs. Orco +/+ fixed dl1,0.3333333333333333,0.06300085505738136,-1.5849625007211563,2.7646069803433213
266,Orco +/+ shuffle vs. Orco +/+ fixed dl2d,0.75,1.0,-0.4150374992788438,0.0
267,Orco +/+ shuffle vs. Orco +/+ fixed dl2v,2.5,0.44312045179022863,1.3219280948873624,0.8139136456914863
268,Orco +/+ shuffle vs. Orco +/+ fixed dl3,0.0,0.028494043702889816,-inf,3.5580602064306466
269,Orco +/+ shuffle vs. Orco +/+ fixed dl4,4.0,0.36744692433315185,2.0,1.001176394342596
270,Orco +/+ shuffle vs. Orco +/+ fixed dl5,0.6,0.7198307863044007,-0.7369655941662062,0.32873911361499986
271,Orco +/+ shuffle vs. Orco +/+ fixed dm1,0.4,0.021561847248793536,-1.3219280948873622,3.8368298571685004
272,Orco +/+ shuffle vs. Orco +/+ fixed dm2,0.6,0.7198307863044007,-0.7369655941662062,0.32873911361499986
273,Orco +/+ shuffle vs. Orco +/+ fixed dm3,1.2,1.0,0.2630344058337938,0.0
274,Orco +/+ shuffle vs. Orco +/+ fixed dm4,0.6666666666666666,1.0,-0.5849625007211563,0.0
275,Orco +/+ shuffle vs. Orco +/+ fixed dm5,0.9,1.0,-0.15200309344504995,0.0
276,Orco +/+ shuffle vs. Orco +/+ fixed dm6,0.625,0.5652896654427957,-0.6780719051126377,0.5704169970126756
277,Orco +/+ shuffle vs. Orco +/+ fixed dp1l,0.75,0.7812425413196005,-0.4150374992788438,0.24686962508801116
278,Orco +/+ shuffle vs. Orco +/+ fixed dp1m,1.1666666666666667,1.0,0.22239242133644802,0.0
279,Orco +/+ shuffle vs. Orco +/+ fixed v,0.0,0.497005988023952,-inf,0.6991532046201574
280,Orco +/+ shuffle vs. Orco +/+ fixed va1d,2.0,0.49569541534792144,1.0,0.701793622842597
281,Orco +/+ shuffle vs. Orco +/+ fixed va1v,0.0,0.24550898203592814,-inf,1.4044217457124473
