,Orca +/+,Orca -/-,Orca +/+ shuff,Orca -/- shuff,Orca +/+ shuff fixed,Orca -/- shuff fixed
Orca +/+,0.0,0.10358466248864982,0.2148729425509575,0.21916490631762342,0.10084433110483305,0.12593456111997672
Orca -/-,0.10358466248864982,0.0,0.23608086339065676,0.23763571673169984,0.1462414574671957,0.07476827417155497
Orca +/+ shuff,0.2148729425509575,0.23608086339065676,0.0,0.12052838174689048,0.2177431681987593,0.24004005775064793
Orca -/- shuff,0.21916490631762342,0.23763571673169984,0.12052838174689048,0.0,0.22872264337336606,0.24445749836427066
Orca +/+ shuff fixed,0.10084433110483305,0.1462414574671957,0.2177431681987593,0.22872264337336606,0.0,0.15463258329346766
Orca -/- shuff fixed,0.12593456111997672,0.07476827417155497,0.24004005775064793,0.24445749836427066,0.15463258329346766,0.0
