,vm3,dl2v,va2,va4,dp1m,dm1,dm2,dm3,dm4,vm2,d,da1,da2,da3,da4l,da4m,dc1,dc2,dc3,dc4,dl1,dl2d,dl3,dl4,dl5,dm5,dm6,dp1l,v,va1d,va1v,va3,va5,va6,va7l,va7m,vc1,vc2,vc3l,vc3m,vc4,vc5,vl1,vl2a,vl2p,vm1,vm4,vm5d,vm5v,vm7d,vm7v
vm3,-0.019675306961788194,-0.47234797629796577,-0.6890104087448214,-0.46822535355475253,-0.05352243596641675,0.7813966784070991,-0.6202630318205385,1.70271748453892,-0.4458005948257664,2.7114003228556385,0.6958510027101171,0.2349292076273924,-0.1935252382615126,-0.26148818018424763,-0.3434007118770205,-0.3277789277144848,-1.0508968234853928,-0.6994326667794154,0.14235645149547338,-0.6285974603368525,-0.9441981863363549,1.0878115951813225,-0.5717993764485682,-0.33619084871649535,-0.6654828690907146,-0.6950080200415113,2.1656967554082023,-0.5851017094219169,0.0,0.648493767065351,0.9971945358212944,0.4351309779045056,-0.7142011626172099,0.6002275850387041,-0.5599410493514407,-0.6636786770228033,-0.5496884330191534,-0.44678420164626953,0.45120818572359606,-0.6240839672530676,-0.6693494177775753,-0.6616268218174199,-0.3387119051861529,-0.5746594208558936,-0.6333421215043695,-0.5206465406436794,0.9607689228305141,0.5672756614480852,-0.7029227946215035,-0.6370707785072282,-0.5278952759648418
dl2v,-0.47234797629796577,-0.09777658518892285,-0.8131622968585881,-0.5208213156885891,-0.34921326397192826,-0.8195988619413292,0.7663008834272735,-0.48872760320359904,-0.5159531474439815,-0.700048251968611,1.6752022288670703,0.854730975231992,-0.20170141995959648,3.5118845842842363,-0.42782232510988527,2.269842314036777,-1.228146885833368,0.2943376599985895,-0.13723396625546924,0.6875921263301336,-0.18343279702561377,2.318805347723452,-0.6429293046401825,-0.40366347064983765,-0.8207297573822758,0.512504950392938,-0.7495625679624573,2.138503130756353,0.0,0.34479084412364275,0.6996737849132533,-0.9144410575075678,0.37875354374913195,-0.8760165733738031,2.4975460072530447,-0.7758477924895594,-0.6593891932810025,-0.5212145598559264,-0.8896711518421462,-0.7982898316082855,1.5479749400731042,0.683528726353853,-0.4191184436505913,-0.6392834020566921,-0.7550207585088574,-0.5773502691896243,0.574056212862956,2.670479226320887,-0.7937138220800002,-0.7576385343371882,-0.6046600060142077
va2,-0.6890104087448214,-0.8131622968585881,-0.009620235900249156,2.0561199275658586,1.6705081633369363,1.8018026639559162,-0.9159165030633221,-0.6677016526556869,2.2025823412560768,2.3523748140348837,-0.1783889978421094,0.12138342869511141,-0.2550147534061228,-0.3692866998165078,-0.5321819785996875,-0.5472234342484,-0.9383243264957177,-0.2716890112567725,-0.696923925921071,0.11510641406836228,-0.7676207820994917,0.24614280971273933,-0.8599944075562709,-0.5394204343822994,0.8033612863070979,2.722278542031083,0.033817137880903264,0.26220018890073704,0.0,0.6300736079639476,-0.947530929484055,-0.4635878511753511,-0.22680660470449515,1.548452349678854,0.23818785447845328,0.9831904083296756,1.5240088450662312,0.7693053575798582,0.4804064323938659,-0.9666611290868473,-1.1065018243848797,0.13265921610059822,-0.5422310063120009,-0.8610433814534633,0.018679238984147063,0.5959042287616767,-1.0149256778983629,-0.2652434442217485,-0.12921446922459787,-0.976861869092375,0.536049557094245
va4,-0.46822535355475253,-0.5208213156885891,2.0561199275658586,-0.08497881733679427,-0.06612934001264142,-0.6979720373244729,-0.5537597090181425,-0.4200840252084049,3.868400344658887,1.0151552315724164,-0.7351720708230558,0.20402996256679135,-0.17281816283231655,-0.2786526973368151,-0.3812075413083083,-0.3609785845408852,-1.0518235790704746,-0.7213592507277037,0.20466046270888621,-0.6359987280038186,-0.9609598436116193,-0.5622661259401692,-0.6452613796961398,2.7750723499226533,-0.718479952878395,-0.6944158975248087,-0.6922804861784683,-0.6088032088058644,0.0,-0.7525454784101178,-0.6258858181799073,-0.8453286587127926,-0.7243885314000554,-0.7913703248690328,-0.5890985586152307,0.7988602372312587,-0.5923035248611601,1.8465250670358633,-0.7794051652287424,0.8418286365174337,2.0606623583682633,2.604719311316102,2.4603336410476087,-0.5608895911072608,0.7930968182286285,-0.5045881079126396,-0.6573595244406443,-0.7674698737941772,-0.7077480235501825,-0.6521177265582553,-0.5388159060803258
dp1m,-0.05352243596641675,-0.34921326397192826,1.6705081633369363,-0.06612934001264142,0.2731521950127481,0.9883842045660118,-0.6732848371278144,1.096359108059692,1.9000221169406075,-1.3913017034132698,-0.35657414838925705,0.42087539524910655,-0.3841768622400486,-0.5766874340378941,0.513834995538705,0.5410141089625586,-0.7342154779310669,-1.6660508880220526,-1.1786305446981402,0.6792079848175684,-0.3981519534762258,-1.3509659976344022,1.02511422066654,-0.8076451041855612,0.16188403745691246,2.2502102113126465,0.5337614702763286,0.9219439068788355,0.0,-0.5768953043678327,0.6411602149509594,1.3153251936606754,0.8083703726441992,-0.5777446412315689,-0.5071617963984824,-0.8531629971653407,1.1926885872316981,-1.0803471356701968,-0.6497999677068048,2.628642362916456,0.13015809653622604,0.671862002026632,0.49732548030464185,-0.5732879477107113,1.7677550243605478,0.6598034251678153,-0.7456652047067511,-0.5456647872318111,-0.9770701290667869,-0.1497049020435528,-1.200899057975556
dm1,0.7813966784070991,-0.8195988619413292,1.8018026639559162,-0.6979720373244729,0.9883842045660118,-0.020909608765016248,0.1930945663318806,0.8205929673598669,0.6944180674487807,0.2179412121659452,-1.0609713916341257,-0.6132665461225626,3.923593080282761,-0.34218401794448694,-0.5749332509987949,-0.5503478111797138,-1.5974985676682063,-0.23093517497292468,-1.3816950009622069,1.1839264557221347,-0.7688405526407583,0.3183829265550581,-0.8577693060239995,-0.5382948951477106,-1.116954820086343,4.799931709182745,1.8820679727035898,2.3992287197373146,0.0,-1.1727450571859837,-0.922605575251936,-0.43483771023402934,-0.19756050731077804,-1.0934279789566874,-0.887353438877197,-0.9970112874637025,0.37325445134507823,0.7366377987557197,1.424102330928231,0.060845543573612666,-1.0817223370203737,-0.9805768548558501,-0.49058506175397837,-0.9078921542903255,-1.0192636196845692,3.418930060792271,-0.9696984901165181,-1.1816128297649762,0.7501462397162395,1.1063511616247226,1.7451480418175025
dm2,-0.6202630318205385,0.7663008834272735,-0.9159165030633221,-0.5537597090181425,-0.6732848371278144,0.1930945663318806,-0.127354879314879,1.290638232487793,-0.5845631254092475,0.4373145062642297,-0.9251101994345328,-1.1520720290609865,-0.2041241452319312,-0.31706966257362673,-0.4744763360828468,-0.5067309691198921,0.018603137878681165,-1.0222514324573522,-1.2184057496209495,0.34874635875292553,-0.5422984727148231,-0.749011793525983,-0.77502207946745,-0.45154871944521935,0.17309692896316545,0.1764795015555441,2.5008002806078697,2.921221672018284,0.0,2.038937903275325,-0.830722585761858,-0.19738755208484843,-1.0021250649630031,-1.0364579347724459,-0.7654703032141216,-0.8773569296622874,2.041851818937637,-0.6335387746055898,0.8579437744477431,0.285810872188594,-0.9569426673946744,0.3828714088951981,-0.4338417804194399,-0.7947906991751803,-0.8548319021281612,-0.6514141499428447,-0.8505355171086083,-0.08289071869135926,0.05209511488907263,0.3179552617391609,2.059790496951315
dm3,1.70271748453892,-0.48872760320359904,-0.6677016526556869,-0.4200840252084049,1.096359108059692,0.8205929673598669,1.290638232487793,-0.08605415999980603,-0.4113946565323547,-0.5640690013343411,-0.675533402001902,-0.8353794738370548,7.389552213373761,-0.23891934294085604,-0.2922331474376548,-0.301560990376407,0.9961060067309354,-0.665253249123765,-0.8690498350366593,1.1691249132183668,0.24129274072441584,-0.5357870240743507,-0.5138324940811495,-0.33181333757371867,-0.6836077679986862,0.8513945406285854,-0.6317170541254383,1.192956888937419,0.0,0.7184799528783943,-0.5817454321098922,-0.7792577475608328,-0.6918492150707998,0.6426425523190212,-0.5378562986241883,-0.634186464145241,-0.5149434037382205,-0.4191184436505913,1.9226483467988966,-0.5897630040362516,-0.6908317598634576,-0.549280897311938,-0.30429030972508964,-0.5388159060803256,0.9559834543047339,-0.46946855975395685,-0.5472109965037294,-0.7058996824646357,-0.6822496118333681,-0.6057137287289304,-0.47755578298905804
dm4,-0.4458005948257664,-0.5159531474439815,2.2025823412560768,3.868400344658887,1.9000221169406075,0.6944180674487807,-0.5845631254092475,-0.4113946565323547,-0.050456962175744906,-0.633147132523684,-0.7440331308945544,0.21890965279890137,-0.20145154833543433,-0.20762474849945395,2.4247483367932405,-0.3858718165706454,-1.0792200519530544,0.5960596122318181,1.334796021736946,-0.652400122985334,-0.9763325672977141,-0.5784344481334636,-0.6119347987145952,-0.3457487984373141,-0.680883993176893,0.702922794621507,0.8260038440480565,-0.6257824200876313,0.0,-0.7359845077245318,0.9547188293624753,-0.8629625469193134,0.5708488650733986,-0.7507979059718743,-0.603421361561491,0.749149906680264,-0.5176252899525245,1.862440492355504,0.43049068592291867,-0.6307252057423204,2.023487002190419,-0.6444217935997667,-0.35233429997104526,-0.6109078951305125,0.787369954720786,-0.4621831600802268,-0.6253800697928985,-0.7559770637107941,-0.7129616570619213,-0.6522857071504476,-0.5393918191705522
vm2,2.7114003228556385,-0.700048251968611,2.3523748140348837,1.0151552315724164,-1.3913017034132698,0.2179412121659452,0.4373145062642297,-0.5640690013343411,-0.633147132523684,-0.0550401715879161,-0.8778920864340743,0.5919003475405304,-0.24183780852147654,-0.3502417502402929,-0.4838856133697023,-0.4823557099257292,0.05928403560337079,-0.9797234263562485,-0.4082482904638631,-0.8430320812480678,0.34544086116173056,1.7886174146396103,-0.7636952071291362,-0.4426589703030453,-0.9321777421506858,0.20838991258532813,1.5075398524337855,-0.760187322121998,0.0,1.0387664080124943,-0.7985883528056091,0.6858574297468835,0.035738211491896696,0.0229031980745187,-0.7353867176518754,0.2906924461966614,-0.7134542911553642,-0.5913405883648835,-1.0268668460391583,1.4878077451400338,-0.8860527125984412,2.8057127097270254,-0.46485783690492244,-0.7725089936075955,-0.9057529185791036,-0.6851621258507263,-0.8682790932644554,2.1060569785541974,1.2500104424849219,-0.9054230421307561,0.7057322696754608
