,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
1737,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle da3,1.3333333333333333,0.21498915266077945,0.41503749927884376,1.5371677048678174
1738,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle da4l,0.6666666666666666,0.7263343831961113,-0.5849625007211563,0.31974478727834016
1739,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle da4m,0.875,0.24521396063247308,-0.19264507794239588,1.405624140845615
1740,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dc1,0.1111111111111111,0.1592859219887507,-3.1699250014423126,1.8370544401788305
1741,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dc2,0.5,1.0,-1.0,0.0
1742,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dc3,0.0,0.16811176263257183,-inf,1.7831262669967658
1743,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dc4,0.2857142857142857,0.7141714668937128,-1.8073549220576042,0.3366321957627964
1744,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dl1,0.6,1.0,-0.7369655941662062,0.0
1745,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dl2d,1.5,0.32847576019737657,0.5849625007211562,1.1132922331335362
1746,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dl2v,0.5,1.0,-1.0,0.0
1747,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dl3,0.3333333333333333,1.0,-1.5849625007211563,0.0
1748,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dl4,0.5,1.0,-1.0,0.0
1749,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dl5,3.0,0.10387772757858332,1.584962500721156,2.26454076787369
1750,Orco +/+ alpha'/beta' shuffle vs. Orco +/+ gamma shuffle dm1,0.2222222222222222,0.33103960336827265,-2.1699250014423126,1.105517263123996
